photo_category,work category,type,subtype,remarks,match,machine,driver/worker,board,mesurer,object,surface
施工状況写真,舗装補修工,アスファルト舗装補修工,舗装版切断,As舗装版切断状況,all,,role_worker_pavementcutting,,,,
施工状況写真,舗装補修工,アスファルト舗装補修工,舗装版破砕,剥取状況,1,backhoe_mini,role_driver_backhoe_break,,,,surface_crushed_pavement
施工状況写真,舗装補修工,アスファルト舗装補修工,舗装版破砕,積込状況,2,"backhoe_mini
truck_4t_loading_crushed_asphalt",role_driver_backhoe_pavement_load,,,,
施工状況写真,舗装補修工,アスファルト舗装補修工,舗装版破砕,既設舗装厚さ,1,,,caption_board,role_measurer_staff_asphalt_break_thickness,new_al_rod_pavement_thickness,
施工状況写真,舗装補修工,アスファルト舗装補修工,上層路盤工,補足材搬入 RM-40,1,truck_4t_loading_soil,role_worker_unload_soil,,,,surface_crushed_stone
施工状況写真,舗装補修工,アスファルト舗装補修工,上層路盤工,不陸整正状況,1,backhoe_mini,role_driver_backhoe_level,,,,surface_crushed_stone
施工状況写真,舗装補修工,アスファルト舗装補修工,上層路盤工,転圧状況,2,roller_conbined_2.5t,role_driver_combined_roller,,,,surface_crushed_stone
施工状況写真,舗装補修工,アスファルト舗装補修工,上層路盤工,路盤完了,all,,,,,,surface_crushed_stone
出来形管理写真,舗装補修工,アスファルト舗装補修工,上層路盤工,不陸整正出来形,1,,,caption_board_dekigata,role_measurer_staff_setdown,,
出来形管理写真,舗装補修工,アスファルト舗装補修工,上層路盤工,不陸整正出来形・管理値,1,,,caption_board_dekigata,,,
出来形管理写真,舗装補修工,アスファルト舗装補修工,上層路盤工,不陸整正出来形・接写,1,,,caption_board_dekigata,role_measurer_staff_setdown,new_alminium_rod,
出来形管理写真,舗装補修工,アスファルト舗装補修工,上層路盤工,砕石厚測定,1,,,caption_board_dekigata,role_measurer_staff_soil_thickness,new_al_rod_soil_thickness,
施工状況写真,舗装補修工,アスファルト舗装補修工,表層工,プライムコート乳剤散布状況,1,,role_worker_emulsion_spray,,,,surface_emulsion
施工状況写真,舗装補修工,アスファルト舗装補修工,表層工,プライムコート養生砂散布状況,1,,role_worker_sand_curing,,,,surface_covered_sand
施工状況写真,舗装補修工,アスファルト舗装補修工,表層工,プライムコート養生砂清掃状況,1,,role_worker_sand_cleaning,,,,surface_covered_sand
施工状況写真,舗装補修工,アスファルト舗装補修工,表層工,端部乳剤塗布状況,1,,role_worker_emulsion_edge,,,,
施工状況写真,舗装補修工,アスファルト舗装補修工,表層工,舗設状況,2,,role_worker_surface_level,,,,surface_pavement
施工状況写真,舗装補修工,アスファルト舗装補修工,表層工,初期転圧状況,2,roller_conbined_2.5t,role_driver_combined_roller,,,,surface_pavement
施工状況写真,舗装補修工,アスファルト舗装補修工,表層工,2次転圧状況,2,roller_tyres_3t,role_driver_tire_roller_3t,,,,surface_pavement
品質管理写真,舗装補修工,アスファルト舗装補修工,表層工,As混合物 到着温度測定,1,,,caption_board_thermometer,role_measurer_thermometer,thermometer,
品質管理写真,舗装補修工,アスファルト舗装補修工,表層工,As混合物 敷均し温度測定,1,,,caption_board_thermometer,role_measurer_thermometer,thermometer,
品質管理写真,舗装補修工,アスファルト舗装補修工,表層工,As混合物 初期締固前温度測定,1,,,caption_board_thermometer,role_measurer_thermometer,thermometer,
品質管理写真,舗装補修工,アスファルト舗装補修工,表層工,As混合物 開放温度測定,1,,,caption_board_thermometer,role_measurer_thermometer,thermometer,
安全管理写真,舗装補修工,アスファルト舗装補修工,,朝礼・安全ミーティング実施状況,1,,role_worker_meeting,,,,
安全管理写真,舗装補修工,アスファルト舗装補修工,,規制配置・誘導員配置状況,1,,role_guardman,,,notice_sign_board,
安全管理写真,,,,安全訓練実施状況,1,,role_worker_safety_training,,,,
