epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7455,0.94426,4.64659,1.24379,0,0,0,0,0.58206,4.48238,0.9959,3.13e-06,3.13e-06,3.13e-06
2,24.8978,1.02033,4.54933,1.33432,0,0,0,0,0.55804,4.48484,0.98718,8.46039e-06,8.46039e-06,8.46039e-06
3,35.1277,0.84617,4.51588,1.18103,0,0,0,0,0.55186,4.47481,0.98189,1.25513e-05,1.25513e-05,1.25513e-05
4,44.9763,0.91767,4.4974,1.29761,0,0,0,0,0.55395,4.47596,0.97418,1.54027e-05,1.54027e-05,1.54027e-05
5,54.5947,0.90317,4.46418,1.3145,0,0,0,0,0.57043,4.47489,0.97895,1.70147e-05,1.70147e-05,1.70147e-05
6,64.4579,0.7764,4.41749,1.178,0,0,0,0,0.58686,4.48371,0.98253,1.73872e-05,1.73872e-05,1.73872e-05
7,74.2582,0.79481,4.38025,1.16197,0,0,0,0,0.60029,4.48889,0.97149,1.65201e-05,1.65201e-05,1.65201e-05
8,84.598,0.73675,4.37031,1.13458,0,0,0,0,0.61364,4.48756,0.98321,1.44137e-05,1.44137e-05,1.44137e-05
9,95.3074,0.71626,4.29141,1.1466,0,0,0,0,0.62478,4.48538,0.99305,1.10677e-05,1.10677e-05,1.10677e-05
10,106.039,0.75885,4.38885,1.14712,0,0,0,0,0.63689,4.47893,1.00594,6.48223e-06,6.48223e-06,6.48223e-06
