epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.14166,1.70408,5.8427,1.6039,0,0,0,0,0.57113,4.72633,0.78379,0,0,0
2,8.48592,1.76931,5.77065,1.85164,0,0,0,0,0.56433,4.72997,0.78042,2.82013e-06,2.82013e-06,2.82013e-06
3,11.3658,1.43247,5.56876,1.59362,0,0,0,0,0.55496,4.73414,0.77738,5.02052e-06,5.02052e-06,5.02052e-06
4,14.3136,1.53546,5.7209,1.52753,0,0,0,0,0.54597,4.73238,0.77757,6.60117e-06,6.60117e-06,6.60117e-06
5,17.5847,1.28147,5.56897,1.50334,0,0,0,0,0.53508,4.73198,0.7712,7.56208e-06,7.56208e-06,7.56208e-06
6,20.5806,1.35939,5.59566,1.43658,0,0,0,0,0.5229,4.73605,0.76695,7.90325e-06,7.90325e-06,7.90325e-06
7,23.5793,1.49222,5.98931,1.30581,0,0,0,0,0.51491,4.73613,0.76481,7.62468e-06,7.62468e-06,7.62468e-06
8,26.7411,1.39937,5.75473,1.49242,0,0,0,0,0.50437,4.74047,0.76097,6.72637e-06,6.72637e-06,6.72637e-06
9,29.972,1.31431,5.50208,1.50417,0,0,0,0,0.49907,4.74005,0.76036,5.20832e-06,5.20832e-06,5.20832e-06
10,32.9473,1.631,5.82425,1.46874,0,0,0,0,0.49756,4.73969,0.76004,3.07053e-06,3.07053e-06,3.07053e-06
